date,fwi,fbupinx,drtcode,dufmcode,ffmcode,fdsrte,infsinx
2003-01-01,3.0324776,43.35023,303.92447,28.816147,59.494816,0.8212287,1.2285517
2003-01-02,3.2347226,43.817448,306.08072,29.067446,58.859665,0.9106911,1.1940669
2003-01-03,3.8406787,44.936455,309.4805,29.878538,64.76005,1.0506481,1.6043359
2003-01-04,4.2918177,45.781628,312.24307,30.441364,65.76534,1.2838339,1.7592815
2003-01-05,4.4343486,46.758377,315.64978,31.114819,65.91673,1.3264258,1.818198
2003-01-06,4.1389956,46.481514,315.42172,30.823656,58.606064,1.3322524,1.560399
2003-01-07,3.8915627,45.898903,313.9688,30.351387,50.11415,1.3364995,1.226496
2003-01-08,3.385112,45.89327,314.69266,30.373339,57.542633,1.040509,1.1279788
2003-01-09,3.4540231,46.00722,315.95596,30.421288,55.20174,1.0517358,1.1333146
2003-01-10,2.9023054,43.124207,309.1509,28.420855,39.590324,0.9875546,0.7784698
2003-01-11,2.4700115,40.939198,304.77383,26.918833,45.012894,0.7885322,0.6975815
2003-01-12,2.595298,40.969383,305.564,26.934576,48.939045,0.7581262,0.8005466
2003-01-13,2.9282477,41.533073,306.54318,27.354275,52.705048,0.86825264,0.9563272
2003-01-14,3.504739,42.1697,308.29868,27.803148,55.053818,1.1211863,1.2095147
2003-01-15,3.3804746,42.165943,308.37927,27.815424,52.88118,1.105462,1.1631463
2003-01-16,3.422191,41.97689,307.50867,27.695696,47.963085,1.2083784,1.0523947
2003-01-17,3.0512462,41.793472,305.80502,27.621029,48.737965,1.0173671,0.93012756
2003-01-18,3.4044514,42.78567,308.05618,28.332033,57.12187,1.0859962,1.1871773
2003-01-19,2.5945375,41.4353,304.93082,27.416956,45.405582,0.7511599,0.8272427
2003-01-20,1.980814,37.116985,292.51965,24.194975,43.091236,0.5048608,0.7248565
2003-01-21,3.0654337,36.81658,291.61252,23.886915,52.531883,0.95114815,1.2288778
2003-01-22,3.8995614,37.92432,294.11612,24.765886,59.07085,1.0965009,1.8735242
2003-01-23,4.3183675,38.847054,296.91003,25.541739,59.802277,1.0410326,2.2489936
2003-01-24,3.5061617,37.404247,292.10355,24.696274,49.14938,0.7443584,1.7260175
2003-01-25,2.1828423,33.291306,283.0286,21.501299,44.07347,0.53677654,0.74370396
2003-01-26,2.3417618,33.06658,282.25027,21.249567,46.732002,0.6890413,0.6880788
2003-01-27,2.464731,33.27932,283.65857,21.278452,56.608814,0.67315,0.95267254
2003-01-28,2.408651,32.781773,282.49106,20.853697,48.537163,0.6449668,0.84268147
2003-01-29,2.4590285,32.153667,280.9945,20.314703,43.869423,0.7387055,0.70240176
2003-01-30,2.2226112,31.056904,275.724,19.583189,42.700775,0.7004892,0.6543341
2003-01-31,1.8034937,30.11424,272.69888,18.998411,44.219604,0.5178207,0.5662652
2003-02-01,1.9003512,29.922155,271.89572,18.922733,51.2678,0.54247904,0.6694344
2003-02-02,1.8635114,28.42981,264.21448,17.965193,45.860657,0.5439639,0.64314
2003-02-03,1.7847501,27.528307,260.10718,17.341566,35.55674,0.5470262,0.47727674
2003-02-04,1.7618248,27.150925,256.2188,17.158146,42.501064,0.5189964,0.5232434
2003-02-05,1.9685695,27.654968,257.64877,17.490324,48.450138,0.56483334,0.6640794
2003-02-06,2.0939846,27.864962,257.44742,17.63576,49.21162,0.6078179,0.74187046
2003-02-07,2.0004423,27.204218,254.19627,17.190786,35.81925,0.6038733,0.5765781
2003-02-08,2.0607781,27.415655,252.2139,17.376228,37.62017,0.6270445,0.59811884
2003-02-09,2.0476964,27.919123,252.16985,17.734835,44.52035,0.6051573,0.643764
